hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,26,2015,October,44,31,2,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,95.96,0,1,Check-Out,2015-11-07
City Hotel,0,36,2017,March,11,14,0,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,106.68,0,0,Check-Out,2017-03-18
Resort Hotel,1,55,2016,October,41,3,3,6,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,89.0,0,2,Canceled,2016-09-17
City Hotel,1,135,2017,June,26,30,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,0,Transient,130.0,0,0,Canceled,2017-02-15
City Hotel,0,130,2016,September,36,3,2,1,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,42.0,0,Transient,80.75,0,0,Check-Out,2016-09-06
City Hotel,0,25,2017,January,1,6,0,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,G,G,0,No Deposit,14.0,0,Transient,198.0,0,0,Check-Out,2017-01-08
City Hotel,0,248,2017,April,15,9,2,0,2,0.0,0,BB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,58.0,0,Transient-Party,80.0,0,1,Check-Out,2017-04-11
Resort Hotel,1,92,2016,February,9,26,1,2,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,134.0,0,Transient,79.0,0,0,Canceled,2015-12-10
City Hotel,1,233,2015,November,45,7,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,0,Transient-Party,60.0,0,0,Canceled,2015-10-21
City Hotel,1,131,2016,August,35,22,1,3,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,92.25,0,0,Canceled,2016-06-13
City Hotel,0,183,2016,September,37,8,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,44.0,0,Transient-Party,110.0,0,1,Check-Out,2016-09-11
City Hotel,1,355,2015,October,41,7,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Transient-Party,62.0,0,0,Canceled,2015-07-02
City Hotel,0,0,2017,March,12,24,0,0,0,0.0,0,BB,PRT,Online TA,TA/TO,1,0,0,A,G,0,No Deposit,86.0,0,Transient,0.0,0,0,Check-Out,2017-03-24
City Hotel,0,61,2017,January,2,8,2,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,0,Transient,72.0,0,0,Check-Out,2017-01-13
City Hotel,1,96,2017,April,17,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,29.0,0,Transient,130.0,0,0,Canceled,2017-01-20
City Hotel,0,150,2016,June,25,14,1,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,121.83,0,2,Check-Out,2016-06-20
City Hotel,0,181,2016,October,42,11,0,2,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,234.0,0,Transient-Party,120.0,0,0,Check-Out,2016-10-13
City Hotel,0,6,2015,December,53,31,0,2,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,137.0,0,1,Check-Out,2016-01-02
City Hotel,0,39,2015,August,33,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,0,Transient-Party,109.0,0,0,Check-Out,2015-08-16
City Hotel,0,19,2017,May,19,12,2,5,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,184.29,0,1,Check-Out,2017-05-19
City Hotel,1,286,2015,July,31,30,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,1,37,2016,October,42,13,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,56.0,0,Transient-Party,105.0,0,0,Canceled,2016-09-06
City Hotel,0,102,2015,October,42,16,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,0,Transient-Party,109.0,0,0,Check-Out,2015-10-18
City Hotel,1,280,2016,September,39,19,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,6.0,35,Transient,110.0,0,0,Canceled,2016-01-18
City Hotel,0,1,2017,February,9,26,2,0,2,1.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,14.0,0,Transient,123.0,0,1,Check-Out,2017-02-28
City Hotel,1,59,2017,January,4,23,1,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326.0,0,Transient,80.0,0,0,Canceled,2016-11-25
Resort Hotel,0,50,2017,February,8,25,2,1,2,0.0,1,BB,PRT,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0,Transient,39.6,0,1,Check-Out,2017-02-28
City Hotel,1,37,2016,July,27,1,0,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,131.4,0,0,Canceled,2016-05-27
City Hotel,1,330,2015,September,37,12,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,0,Transient-Party,62.8,0,0,Canceled,2015-01-01
City Hotel,1,50,2015,October,43,24,1,1,2,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,0,Transient,75.0,0,0,Canceled,2015-10-07
City Hotel,0,25,2017,August,33,14,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,169.0,0,1,Check-Out,2017-08-17
City Hotel,0,151,2016,July,28,4,1,0,2,2.0,0,BB,CHE,Direct,Direct,0,0,0,F,F,0,No Deposit,14.0,0,Transient,171.9,0,0,Check-Out,2016-07-05
Resort Hotel,1,6,2015,December,50,6,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,240.0,0,Transient,54.4,0,0,Canceled,2015-12-01
City Hotel,1,153,2017,July,28,9,1,0,2,0.0,0,SC,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,89.1,0,0,Canceled,2017-05-17
City Hotel,1,70,2016,September,38,15,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,149.4,0,0,Canceled,2016-07-07
City Hotel,0,62,2016,May,21,19,0,1,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,116.1,0,0,Check-Out,2016-05-20
City Hotel,0,104,2017,March,12,19,2,5,1,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,20.0,0,Transient-Party,65.0,0,0,Check-Out,2017-03-26
City Hotel,0,83,2015,September,40,30,0,1,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,77,Transient-Party,112.2,0,0,Check-Out,2015-10-01
City Hotel,0,69,2017,April,14,7,0,2,3,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,162.0,0,1,Check-Out,2017-04-09
City Hotel,0,5,2016,August,35,26,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,96.76,0,1,Check-Out,2016-08-29
City Hotel,1,77,2015,August,32,3,5,12,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,76.5,0,0,Canceled,2015-05-21
Resort Hotel,0,167,2015,September,38,17,4,10,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,243.0,0,Contract,68.0,0,3,Check-Out,2015-10-01
City Hotel,0,72,2016,June,23,1,0,3,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,108.11,0,0,Check-Out,2016-06-04
City Hotel,0,3,2017,January,4,24,0,1,1,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,88.0,0,0,Check-Out,2017-01-25
Resort Hotel,1,256,2015,August,31,1,3,6,2,2.0,0,BB,PRT,Online TA,TA/TO,0,1,0,G,G,1,No Deposit,240.0,0,Transient-Party,199.0,0,1,Canceled,2015-07-27
Resort Hotel,0,109,2015,July,27,4,2,6,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,123.0,0,1,Check-Out,2015-07-12
City Hotel,0,4,2015,August,34,17,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,122.0,0,3,Check-Out,2015-08-21
City Hotel,0,13,2015,October,41,6,0,3,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,28.0,0,Transient,75.0,0,1,Check-Out,2015-10-09
Resort Hotel,1,2,2017,February,9,27,1,0,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,92.0,0,1,Canceled,2017-02-26
City Hotel,1,265,2015,July,28,9,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,3,2016,September,39,22,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,,0,Transient,166.25,0,0,Check-Out,2016-09-23
City Hotel,1,105,2016,April,15,6,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12.0,0,Transient,75.0,0,0,Canceled,2016-01-18
City Hotel,0,178,2017,July,28,13,2,5,2,2.0,0,HB,DNK,Direct,Direct,0,0,0,E,E,1,No Deposit,14.0,0,Transient,214.0,0,3,Check-Out,2017-07-20
City Hotel,0,29,2016,December,49,2,0,2,1,0.0,0,BB,DEU,Corporate,TA/TO,0,0,0,A,A,4,No Deposit,,0,Transient-Party,66.18,0,1,Check-Out,2016-12-04
Resort Hotel,0,61,2016,March,12,14,1,3,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,156.0,0,Transient,35.15,0,1,Check-Out,2016-03-18
City Hotel,1,82,2017,March,10,5,2,4,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,91.8,0,0,Canceled,2017-02-24
Resort Hotel,1,111,2015,October,43,23,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,45.0,0,1,Canceled,2015-07-20
City Hotel,0,61,2016,December,51,16,1,2,2,0.0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,0,Transient,79.2,0,0,Check-Out,2016-12-19
City Hotel,1,197,2017,March,11,16,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,79.2,0,2,Canceled,2016-09-25
Resort Hotel,1,86,2017,March,10,9,0,3,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,67.0,0,Transient,46.0,0,0,Canceled,2016-12-13
City Hotel,0,247,2016,June,24,6,1,1,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,6.0,0,Transient-Party,115.0,0,1,Check-Out,2016-06-08
City Hotel,1,280,2017,August,33,16,2,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,113.1,0,0,Canceled,2016-11-09
City Hotel,0,27,2016,July,30,23,0,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,E,0,No Deposit,9.0,0,Transient,187.0,0,2,Check-Out,2016-07-24
Resort Hotel,1,41,2016,September,39,23,0,1,1,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,139.0,0,1,Canceled,2016-08-26
City Hotel,1,78,2017,April,17,29,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,6.0,0,Transient,90.0,0,0,Canceled,2017-02-10
Resort Hotel,0,19,2017,August,35,31,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,0,Transient,165.6,0,0,Check-Out,2017-09-03
City Hotel,0,220,2016,September,38,17,2,1,1,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,177.0,0,Transient-Party,128.0,0,0,Check-Out,2016-09-20
City Hotel,0,133,2016,October,44,23,2,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,108.38,0,0,Check-Out,2016-10-27
Resort Hotel,0,213,2016,May,21,16,1,1,1,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,1,No Deposit,298.0,0,Transient-Party,54.5,0,0,Check-Out,2016-05-18
City Hotel,0,23,2016,January,1,2,2,1,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,0,Transient-Party,109.0,0,0,Check-Out,2016-01-05
Resort Hotel,1,238,2017,February,6,10,0,2,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,155.0,0,Transient,54.0,0,0,Canceled,2016-12-15
City Hotel,1,39,2017,July,28,15,0,1,1,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,140.0,0,0,Canceled,2017-07-11
City Hotel,1,195,2015,September,38,17,0,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,20.0,0,Transient,48.0,0,0,Canceled,2015-07-23
City Hotel,1,47,2016,April,16,12,0,1,1,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,99.9,0,0,Canceled,2016-03-21
City Hotel,1,58,2016,January,5,27,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,87.0,0,Transient-Party,80.0,0,0,Canceled,2016-01-07
City Hotel,0,49,2017,April,16,16,2,0,2,0.0,0,SC,PRY,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,0,Check-Out,2017-04-18
Resort Hotel,1,349,2016,August,32,4,2,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,125.4,0,3,Canceled,2016-06-21
Resort Hotel,0,0,2017,April,14,8,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,,0,Transient,110.0,0,0,Check-Out,2017-04-09
Resort Hotel,0,3,2015,October,41,9,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,83.33,0,2,Check-Out,2015-10-12
Resort Hotel,0,27,2017,March,11,16,0,1,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,0,Transient,68.0,0,1,Check-Out,2017-03-17
City Hotel,1,38,2017,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,0,Transient,75.0,0,0,Canceled,2016-12-07
City Hotel,1,61,2017,May,20,17,0,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,162.0,0,1,Canceled,2017-03-26
Resort Hotel,0,154,2017,August,34,21,2,5,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40.0,0,Contract,132.86,0,1,Check-Out,2017-08-28
City Hotel,0,183,2017,January,1,1,2,4,2,2.0,0,BB,RUS,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,0,Transient,153.5,1,1,Check-Out,2017-01-07
City Hotel,0,105,2017,August,33,13,2,3,2,0.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,0,Transient,95.0,0,1,Check-Out,2017-08-18
City Hotel,1,194,2017,April,16,21,2,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,117.0,0,2,Canceled,2017-04-21
City Hotel,0,4,2016,February,7,13,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,0,Transient,95.0,0,2,Check-Out,2016-02-14
Resort Hotel,0,1,2016,December,51,17,0,1,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,136.0,0,1,Check-Out,2016-12-18
City Hotel,1,6,2016,November,48,24,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,3,A,A,0,No Deposit,,0,Transient,65.0,0,1,Canceled,2016-11-23
Resort Hotel,0,82,2017,July,30,23,3,5,2,0.0,0,HB,GBR,Direct,Direct,0,0,0,F,F,1,No Deposit,250.0,0,Transient,294.0,0,2,Check-Out,2017-07-31
City Hotel,1,174,2015,October,41,10,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,0,Transient,70.0,0,0,Canceled,2015-08-31
City Hotel,0,22,2017,April,16,21,2,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,115.0,0,1,Check-Out,2017-04-25
City Hotel,1,272,2015,July,29,16,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1.0,0,Contract,62.0,0,0,Canceled,2015-01-01
City Hotel,0,0,2017,May,20,19,0,1,3,0.0,1,BB,AGO,Direct,Direct,0,0,0,F,F,1,No Deposit,,0,Transient,305.0,0,0,Check-Out,2017-05-20
City Hotel,0,34,2016,November,46,7,1,2,1,0.0,0,BB,DEU,Online TA,GDS,0,0,0,A,A,0,No Deposit,195.0,0,Transient,169.2,0,0,Check-Out,2016-11-10
Resort Hotel,1,139,2016,April,15,4,1,1,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,242.0,0,Transient,94.0,0,1,Canceled,2016-03-08
City Hotel,0,14,2016,July,27,2,2,3,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,151.0,0,2,Check-Out,2016-07-07
Resort Hotel,1,237,2017,May,18,3,0,1,2,0.0,0,HB,RUS,Online TA,TA/TO,0,0,0,E,E,2,No Deposit,240.0,0,Transient-Party,109.8,0,0,Canceled,2016-12-29
City Hotel,0,46,2016,July,31,27,0,1,2,1.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,0,Transient,152.1,0,2,Check-Out,2016-07-28
City Hotel,1,86,2016,December,52,24,2,3,3,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,119.0,0,2,Canceled,2016-11-30
City Hotel,1,265,2016,April,17,20,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,30.0,0,Transient,101.0,0,0,Canceled,2015-07-30
City Hotel,1,52,2017,January,1,6,2,2,2,0.0,0,BB,ITA,Online TA,TA/TO,1,1,1,A,A,0,No Deposit,9.0,0,Transient,88.4,0,2,Canceled,2016-12-22
Resort Hotel,0,47,2016,November,47,19,2,3,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,0,Transient,37.8,0,2,Check-Out,2016-11-24
City Hotel,1,47,2017,July,27,3,1,3,3,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,0,Transient,234.5,0,1,Canceled,2017-05-17
Resort Hotel,0,2,2017,February,8,23,0,2,1,0.0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,1,No Deposit,68.0,0,Transient-Party,0.0,0,0,Check-Out,2017-02-25
Resort Hotel,0,199,2016,May,19,2,1,1,2,0.0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,0,Transient-Party,85.0,0,0,Check-Out,2016-05-04
City Hotel,0,99,2017,June,23,9,0,1,1,0.0,0,HB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,0,Transient,146.16,0,0,Check-Out,2017-06-10
City Hotel,0,246,2017,July,28,10,1,0,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,107.1,0,1,Check-Out,2017-07-11
City Hotel,1,97,2017,July,28,11,0,3,2,0.0,0,BB,AUS,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,0,Transient,150.0,0,2,Canceled,2017-04-06
Resort Hotel,1,250,2017,June,26,26,1,4,2,1.0,0,BB,ESP,Direct,Direct,0,0,0,A,A,2,No Deposit,250.0,0,Transient,132.6,0,0,Canceled,2017-05-29
Resort Hotel,1,106,2016,March,13,24,1,3,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,68.0,0,Transient,84.0,0,0,Canceled,2016-01-22
City Hotel,0,4,2016,September,39,20,0,1,2,1.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,15.0,0,Transient,152.2,0,0,Check-Out,2016-09-21
Resort Hotel,0,54,2015,September,36,5,2,5,2,0.0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,250.0,0,Transient,98.0,0,2,Check-Out,2015-09-12
City Hotel,1,179,2016,September,36,2,2,5,0,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,B,B,3,No Deposit,9.0,0,Transient-Party,121.01,0,0,Canceled,2016-09-01
City Hotel,0,127,2017,August,33,16,2,5,2,0.0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,262.0,0,Transient,80.1,0,1,Check-Out,2017-08-23
Resort Hotel,0,74,2017,March,13,30,2,5,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,0,Transient,113.29,0,1,Check-Out,2017-04-06
Resort Hotel,1,12,2016,July,31,24,1,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,0,Transient-Party,126.0,0,0,Canceled,2016-07-13
Resort Hotel,0,21,2017,May,22,28,2,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,0,Transient,142.0,0,3,Check-Out,2017-05-31
Resort Hotel,0,0,2017,January,2,9,1,0,2,0.0,0,BB,USA,Online TA,TA/TO,1,0,0,A,A,0,No Deposit,306.0,0,Transient,30.99,0,0,Check-Out,2017-01-10
Resort Hotel,1,80,2015,August,31,1,4,6,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,242.0,0,Transient,169.0,0,1,Canceled,2015-07-21
Resort Hotel,1,57,2017,March,10,11,2,5,1,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,0,Transient-Party,51.0,0,0,Canceled,2017-01-26
City Hotel,1,69,2016,June,25,12,2,4,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,236.0,0,Transient,120.0,0,0,Canceled,2016-05-04
City Hotel,0,95,2017,March,12,25,2,3,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,0,Transient,72.0,0,0,Check-Out,2017-03-30
Resort Hotel,1,16,2015,July,30,25,1,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,0,Transient,134.0,0,0,Canceled,2015-07-23
City Hotel,0,50,2016,December,50,4,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,88.4,0,0,Check-Out,2016-12-08
Resort Hotel,1,2,2017,February,8,22,0,4,1,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,0,Transient-Party,36.0,0,0,Canceled,2017-02-20
City Hotel,0,23,2017,August,31,3,1,3,2,0.0,0,SC,RUS,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,0,Transient,147.0,0,1,Check-Out,2017-08-07
Resort Hotel,1,2,2015,October,42,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,No Deposit,,0,Transient,47.0,0,0,Canceled,2015-10-12
City Hotel,0,3,2016,March,13,25,1,2,2,0.0,0,SC,ISR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,135.67,0,1,Check-Out,2016-03-28
Resort Hotel,0,23,2017,April,16,20,0,3,2,0.0,0,BB,GBR,Groups,Direct,0,0,0,A,D,0,No Deposit,,0,Transient-Party,99.0,0,0,Check-Out,2017-04-23
City Hotel,0,103,2016,November,46,7,1,3,1,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,0,Transient,187.25,0,2,Check-Out,2016-11-11
City Hotel,0,168,2017,May,20,14,2,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient,108.0,0,0,Check-Out,2017-05-17
City Hotel,0,260,2016,October,43,22,2,5,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Transient-Party,108.68,0,3,Check-Out,2016-10-29
Resort Hotel,1,99,2015,October,43,24,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,0,Transient,65.0,0,2,Canceled,2015-08-26
City Hotel,0,192,2016,June,26,24,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,0,Transient-Party,95.0,0,0,Check-Out,2016-06-26
City Hotel,1,273,2015,July,29,17,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,6.0,0,Transient-Party,101.5,0,0,Canceled,2015-07-06
Resort Hotel,0,10,2016,March,11,11,2,2,2,0.0,0,BB,POL,Online TA,TA/TO,0,0,0,E,F,2,No Deposit,240.0,0,Transient,67.5,0,1,Check-Out,2016-03-15
City Hotel,1,41,2016,April,17,21,0,3,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,0,Transient,191.58,0,0,Canceled,2016-03-11
City Hotel,0,21,2015,September,36,3,0,2,2,0.0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,0,Contract,105.0,0,0,Check-Out,2015-09-05
